Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.125798,0.11309
5,34.725,38.625,0.0989282,0.0913551
10,34.5833,39.55,0.0901016,0.0823828
15,36.85,43.625,0.0854903,0.0782224
20,40.025,43.975,0.076286,0.0689398
25,41.8417,46.125,0.0715484,0.0652599
30,43.5917,47.2,0.0698793,0.0638006
35,44.8833,48.65,0.0689128,0.0626812
40,45.65,49.55,0.068203,0.0617048
45,46.4333,50.35,0.0677201,0.0610822
50,50.275,54.4,0.0661534,0.0593939
55,51.9417,56.6,0.0643437,0.0576383
60,52.825,56.925,0.0630148,0.0562758
65,53.6667,58.075,0.0619149,0.0557711
70,54.1417,58.675,0.0610937,0.0563028
75,54.6167,58.925,0.0605118,0.0562261
80,54.8167,58.45,0.0600296,0.05623
85,55.3583,58.125,0.0596264,0.0561198
90,55.9167,58.7,0.0587417,0.0551803
95,56.475,58.3,0.0564741,0.0528035
100,56.375,58.675,0.0536626,0.0499991
105,56.6,60.575,0.0515228,0.0467475
110,58.0917,61.525,0.0502008,0.0460236
115,59.7,62.65,0.0495088,0.045247
120,60,63.05,0.0491323,0.0446138
125,60.5667,64.2,0.0488051,0.0438993
130,60.9167,64.325,0.0484266,0.0434427
135,61.1417,64.05,0.0481469,0.043262
140,61.3833,64.5,0.0479323,0.0427734
145,61.6833,65.125,0.0475731,0.0423812
150,61.9333,65.275,0.0473615,0.0423411

Training Complete!!! - > Elapsed Epochs: 150 Validation Set Accuracy: 64.975 Validation Set MSE: 0.0478308
